Start time: 1538914654.4807746, End time: 1538914654.481034, Difference: 0.0002593994140625, Start angle is: 0, end angle is: 0;
Start time: 1538914657.5028687, End time: 1538914657.5031717, Difference: 0.00030303001403808594, Start angle is: 0, end angle is: 0;
Start time: 1538914818.531209, End time: 1538914818.5314953, Difference: 0.00028634071350097656, Start angle is: 0, end angle is: 0;
Start time: 1538914831.8193247, End time: 1538914831.8196313, Difference: 0.0003066062927246094, Start angle is: 0, end angle is: 0;
Start time: 1538914834.4023635, End time: 1538914834.4026587, Difference: 0.0002951622009277344, Start angle is: 0, end angle is: 0;
Start time: 1538914835.782875, End time: 1538914835.7831357, Difference: 0.0002605915069580078, Start angle is: 0, end angle is: 0;
Start time: 1538914836.0317883, End time: 1538914836.0319703, Difference: 0.0001819133758544922, Start angle is: 0, end angle is: 0;
Start time: 1538914837.0064337, End time: 1538914837.0066996, Difference: 0.0002658367156982422, Start angle is: 0, end angle is: 0;
Start time: 1538914837.44583, End time: 1538914837.4459896, Difference: 0.0001595020294189453, Start angle is: 0, end angle is: 0;
Start time: 1538914838.0833027, End time: 1538914838.0835762, Difference: 0.0002734661102294922, Start angle is: 0, end angle is: 0;
Start time: 1538914838.646041, End time: 1538914838.646328, Difference: 0.00028705596923828125, Start angle is: 0, end angle is: 0;
Start time: 1538914839.3667333, End time: 1538914839.3669498, Difference: 0.00021648406982421875, Start angle is: 0, end angle is: 0;
Start time: 1538914839.6642172, End time: 1538914839.6644278, Difference: 0.0002105236053466797, Start angle is: 0, end angle is: 0;
Start time: 1538914840.4394665, End time: 1538914840.439673, Difference: 0.00020647048950195312, Start angle is: 0, end angle is: 0;
Start time: 1538914840.7546089, End time: 1538914840.754906, Difference: 0.0002970695495605469, Start angle is: 0, end angle is: 0;
Start time: 1538914841.489969, End time: 1538914841.490276, Difference: 0.0003070831298828125, Start angle is: 0, end angle is: 0;
Start time: 1538914848.875991, End time: 1538914848.876279, Difference: 0.0002880096435546875, Start angle is: 0, end angle is: 0;
Start time: 1538914849.5199344, End time: 1538914849.5201254, Difference: 0.00019097328186035156, Start angle is: 0, end angle is: 0;
Start time: 1538914855.918487, End time: 1538914855.918758, Difference: 0.000270843505859375, Start angle is: 0, end angle is: 0;
Start time: 1538914856.987618, End time: 1538914856.9878814, Difference: 0.00026345252990722656, Start angle is: 0, end angle is: 0;
Start time: 1538914857.8713126, End time: 1538914857.8716345, Difference: 0.0003218650817871094, Start angle is: 0, end angle is: 0;
Start time: 1538914858.5587957, End time: 1538914858.5590236, Difference: 0.00022792816162109375, Start angle is: 0, end angle is: 0;
Start time: 1538914859.1020825, End time: 1538914859.1022208, Difference: 0.00013828277587890625, Start angle is: 0, end angle is: 0;
Start time: 1538914859.6487162, End time: 1538914859.649103, Difference: 0.0003867149353027344, Start angle is: 0, end angle is: 0;
Start time: 1538914867.8482988, End time: 1538914867.848643, Difference: 0.00034427642822265625, Start angle is: 0, end angle is: 0;
Start time: 1538914868.5790777, End time: 1538914868.5793953, Difference: 0.00031757354736328125, Start angle is: 0, end angle is: 0;
Start time: 1538914869.6363046, End time: 1538914869.636612, Difference: 0.00030732154846191406, Start angle is: 0, end angle is: 0;
Start time: 1538914870.785696, End time: 1538914870.7859776, Difference: 0.0002815723419189453, Start angle is: 0, end angle is: 0;
Start time: 1538914871.201331, End time: 1538914871.2016563, Difference: 0.0003254413604736328, Start angle is: 0, end angle is: 0;
Start time: 1538914871.9348319, End time: 1538914871.9351218, Difference: 0.0002899169921875, Start angle is: 0, end angle is: 0;
Start time: 1538914872.8681567, End time: 1538914872.868448, Difference: 0.0002913475036621094, Start angle is: 0, end angle is: 0;
Start time: 1538914873.674818, End time: 1538914873.6750786, Difference: 0.0002605915069580078, Start angle is: 0, end angle is: 0;
Start time: 1538914874.428682, End time: 1538914874.428951, Difference: 0.0002689361572265625, Start angle is: 0, end angle is: 0;
Start time: 1538914875.2436867, End time: 1538914875.2439506, Difference: 0.0002639293670654297, Start angle is: 0, end angle is: 0;
Start time: 1538914881.9812527, End time: 1538914881.9815464, Difference: 0.000293731689453125, Start angle is: 0, end angle is: 0;
Start time: 1538914885.474094, End time: 1538914885.4744222, Difference: 0.00032830238342285156, Start angle is: 0, end angle is: 0;
Start time: 1538914887.8707695, End time: 1538914887.8711119, Difference: 0.00034236907958984375, Start angle is: 0, end angle is: 0;
Start time: 1538914888.7902446, End time: 1538914888.7904277, Difference: 0.00018310546875, Start angle is: 0, end angle is: 0;
Start time: 1538914896.5502753, End time: 1538914896.5505362, Difference: 0.0002608299255371094, Start angle is: 0, end angle is: 0;
Start time: 1538914914.1048841, End time: 1538914914.1050324, Difference: 0.00014829635620117188, Start angle is: 0, end angle is: 0;
Start time: 1538914915.8054829, End time: 1538914915.8057642, Difference: 0.00028133392333984375, Start angle is: 0, end angle is: 0;
Start time: 1538914930.402446, End time: 1538914930.402781, Difference: 0.0003349781036376953, Start angle is: 0, end angle is: 0;
Start time: 1538914934.30252, End time: 1538914934.3028107, Difference: 0.0002906322479248047, Start angle is: 0, end angle is: 0;
Start time: 1538914947.8861814, End time: 1538914947.8864584, Difference: 0.0002770423889160156, Start angle is: 0, end angle is: 0;
Start time: 1538914958.817528, End time: 1538914958.8177812, Difference: 0.0002532005310058594, Start angle is: 0, end angle is: 0;
Start time: 1538914962.7802157, End time: 1538914962.780505, Difference: 0.0002892017364501953, Start angle is: 0, end angle is: 0;
Start time: 1538914966.0341628, End time: 1538914966.0343366, Difference: 0.00017380714416503906, Start angle is: 0, end angle is: 0;
Start time: 1538914970.1013246, End time: 1538914970.101721, Difference: 0.00039649009704589844, Start angle is: 0, end angle is: 0;
Start time: 1538915020.5294466, End time: 1538915020.5297458, Difference: 0.00029921531677246094, Start angle is: 0, end angle is: 0;
Start time: 1538915026.3642015, End time: 1538915026.364471, Difference: 0.0002694129943847656, Start angle is: 0, end angle is: 0;
